no real user sys rows
680 0.008 0 0.005 0
681 0.009 0.006 0 0
682 0.008 0 0.005 0
683 0.007 0 0.005 1
684 0.007 0.005 0 0
685 0.006 0.001 0.004 0
686 0.007 0.005 0 0
687 0.006 0.005 0 0
688 0.006 0.005 0 0
689 0.008 0 0.005 0
690 0.007 0.005 0 0
691 0.006 0.003 0.002 1
692 0.006 0 0.005 0
693 0.006 0.005 0 0
694 0.006 0.005 0 0
695 0.006 0.005 0 0
696 0.006 0.003 0.002 1
697 0.006 0 0.005 1
698 0.009 0.005 0 1
699 0.011 0 0.005 1
700 0.008 0.005 0 1
701 0.006 0.005 0 0
702 0.006 0.005 0 0
703 0.006 0.005 0 0
704 0.006 0.005 0 0
705 0.006 0.005 0 0
706 0.006 0.005 0 0
707 0.006 0.005 0 0
708 0.006 0 0.005 0
709 0.006 0.005 0 0
710 0.006 0 0.005 0
711 0.006 0 0.005 0
712 0.006 0 0.005 0
713 0.006 0.005 0 0
714 0.007 0 0.005 0
715 0.006 0 0.005 0
716 0.007 0 0.005 0
717 0.006 0.003 0.002 0
718 0.007 0.005 0 0
719 0.007 0 0.005 0
720 0.011 0 0.005 0
721 0.006 0.005 0 0
722 0.006 0.005 0 0
723 0.006 0.005 0 0
724 0.009 0.005 0 0
725 0.006 0.005 0 0
726 0.007 0 0.005 0
727 0.008 0 0.005 0
728 0.01 0.005 0.001 0
729 0.007 0.005 0 0
730 0.006 0.005 0 0
731 0.006 0.005 0 0
732 0.006 0 0.005 0
733 0.006 0 0.005 0
734 0.006 0.005 0 0
735 0.006 0 0.005 0
736 0.007 0.005 0 0
737 0.006 0.005 0 1
738 0.006 0.005 0 0
739 0.006 0 0.005 0
740 0.007 0.003 0.002 0
741 0.006 0.005 0 0
742 0.007 0.005 0 0
743 0.006 0 0.005 0
744 0.006 0.005 0 0
745 0.006 0.003 0.002 0
746 0.008 0 0.005 1
747 0.007 0.005 0 0
748 0.007 0.005 0 0
749 0.007 0.005 0 0
750 0.006 0.005 0 0
751 0.006 0.005 0 0
752 0.006 0 0.005 0
753 0.007 0 0.005 0
754 0.006 0.005 0 0
755 0.006 0 0.005 0
756 0.01 0.005 0 1
757 0.007 0.002 0.003 1
758 0.006 0.005 0 0
759 0.006 0.005 0 0
760 0.006 0.005 0 0
761 0.007 0.005 0 0
762 0.007 0.003 0.002 0
763 0.007 0.005 0 0
764 0.007 0 0.005 0
765 0.007 0.005 0 0
766 0.007 0 0.005 1
767 0.006 0.005 0 0
768 0.006 0 0.005 0
769 0.006 0.005 0 0
770 0.006 0.005 0 0
771 0.006 0.005 0 0
772 0.006 0.005 0 0
773 0.006 0.005 0 1
774 0.007 0.005 0 0
775 0.006 0.005 0 0
776 0.006 0 0.005 0
777 0.006 0.005 0 0
778 0.006 0.005 0 0
779 0.007 0.005 0 0
780 0.007 0.005 0 0
781 0.006 0.003 0.002 0
782 0.006 0.005 0 0
783 0.01 0.007 0 0
784 0.006 0.001 0.004 0
785 0.006 0 0.005 0
786 0.008 0.005 0 1
787 0.006 0 0.005 0
788 0.007 0.005 0 0
789 0.006 0.005 0 0
790 0.009 0.005 0 1
791 0.034 0.005 0 1
792 0.01 0.005 0 1
793 0.007 0.005 0 0
794 0.007 0 0.005 0
795 0.007 0.005 0 0
796 0.007 0 0.005 0
797 0.006 0 0.005 0
798 0.006 0.003 0.002 0
799 0.007 0.005 0 0
800 0.006 0.005 0 0
801 0.006 0.005 0 0
802 0.008 0 0.005 1
803 0.007 0.005 0 0
804 0.007 0.005 0 0
805 0.007 0.005 0 0
806 0.006 0 0.005 0
807 0.006 0.005 0 1
808 0.006 0 0.005 0
809 0.009 0 0.005 1
810 0.006 0 0.005 0
811 0.006 0 0.005 0
812 0.006 0 0.005 0
813 0.006 0.005 0 0
814 0.007 0.005 0 0
815 0.006 0 0.005 0
816 0.006 0 0.005 0
817 0.006 0.002 0.003 0
818 0.006 0.005 0 0
819 0.006 0.005 0 0
820 0.006 0 0.005 0
821 0.007 0.005 0 0
822 0.006 0.005 0 1
823 0.007 0.005 0 0
824 0.007 0.003 0.003 0
825 0.007 0 0.005 0
826 0.006 0.005 0 0
827 0.007 0 0.005 0
828 0.006 0.005 0 0
829 0.007 0.005 0 0
830 0.006 0 0.005 0
831 0.006 0.005 0 0
832 0.006 0 0.005 0
833 0.006 0.005 0 0
834 0.008 0.005 0 0
835 0.006 0.005 0 0
836 0.006 0.005 0 1
837 0.006 0.005 0 0
838 0.006 0 0.005 0
839 0.007 0.005 0 0
840 0.008 0 0.005 1
841 0.006 0.005 0 0
842 0.006 0.005 0 0
843 0.006 0.004 0 1
844 0.007 0 0.005 0
845 0.007 0 0.005 0
846 0.007 0.005 0 0
847 0.007 0.001 0.005 0
848 0.007 0.005 0.001 0
849 0.007 0.005 0 0
850 0.006 0.005 0 0
851 0.006 0.005 0 0
852 0.009 0.005 0 1
853 0.012 0 0.005 1
854 0.007 0.005 0 0
855 0.006 0.005 0 0
856 0.007 0 0.005 0
857 0.006 0.005 0 0
858 0.007 0.003 0.002 0
859 0.006 0 0.005 1
860 0.006 0.005 0 0
861 0.006 0 0.005 1
862 0.006 0.005 0 0
863 0.006 0.005 0 0
864 0.006 0 0.005 0
865 0.007 0.005 0 0
866 0.007 0.005 0 0
867 0.007 0.005 0 0
868 0.006 0.005 0 0
869 0.006 0.005 0 0
870 0.008 0.005 0 1
871 0.006 0.005 0 0
872 0.007 0.005 0.001 0
873 0.007 0.006 0 1
874 0.006 0.005 0 0
875 0.006 0.001 0.004 0
876 0.008 0 0.005 0
